"","OR"
"1","ac1A"
"2","ac1B"
"3","ac2A"
"4","ac2B"
"5","ac3A"
"6","ac3B"
"7","ac4"
"8","Or1a"
"9","Or2a"
"10","Or7a"
"11","Or9a"
"12","Or10a"
"13","Or13a"
"14","Or19a"
"15","Or22a"
"16","Or22b"
"17","Or22c"
"18","Or23a"
"19","Or24a"
"20","Or30a"
"21","Or33a"
"22","Or33b"
"23","Or33c"
"24","Or35a"
"25","Or42a"
"26","Or42b"
"27","Or43a"
"28","Or43b"
"29","Or45a"
"30","Or45b"
"31","Or46a"
"32","Or47a"
"33","Or47b"
"34","Or49a"
"35","Or49b"
"36","Or59a"
"37","Or59b"
"38","Or59c"
"39","Or65a"
"40","Or67a"
"41","Or67b"
"42","Or67c"
"43","Or67d"
"44","Or71a"
"45","Or74a"
"46","Or82a"
"47","Or85a"
"48","Or85b"
"49","Or85c"
"50","Or85d"
"51","Or85e"
"52","Or85f"
"53","Or88a"
"54","Or92a"
"55","Or94a"
"56","Or94b"
"57","Or98a"
"58","Gr21a.Gr63a"
"59","ab2B"
"60","ab4B"
"61","ab5B"
"62","pb2A"
"63","Or69a"
"64","ac1"
"65","ac2"
"66","ac3_noOr35a"
"67","Ir31a"
"68","Ir41a"
"69","Ir75a"
"70","Ir75d"
"71","Ir76a"
"72","Ir84a"
"73","Ir92a"
"74","Ir64a.DC4"
"75","Ir64a.DP1m"
"76","ac1BC"
"77","ac2BC"
"78","Or83c"
