"Class";"Name";"CID";"CAS";"Hallem.2006.EN";"Hallem.2004.EN";"Hallem.2004.WT";"Bruyne.2001.WT";"Dobritsa.2003.EN";"Stensmyr.2003.WT";"Schmuker.2007.TR"
NA;"SFR";NA;"SFR";14;NA;NA;6;NA;NA;6
"other";"water";"962";"7732-18-5";NA;NA;NA;NA;NA;NA;NA
"amine";"ammonium hydroxide";"14923";"1336-21-6";24;NA;NA;NA;NA;NA;NA
"amine";"putrescine";"1045";"110-60-1";-12;NA;NA;NA;NA;NA;5
"amine";"cadaverine";"273";"462-94-2";-3;NA;NA;NA;NA;NA;NA
"amine";"ammonia";"222";"7664-41-7";NA;NA;NA;NA;NA;NA;11
"amine";"ethanolamine";"700";"141-43-5";NA;NA;NA;NA;NA;NA;6
"amine";"heptylamine";"8127";"111-68-2";NA;NA;NA;NA;NA;NA;NA
"amine";"isoamylamine";"7894";"107-85-7";NA;NA;NA;NA;NA;NA;NA
"amine";"dimethylamine";"674";"124-40-3";NA;NA;NA;NA;NA;NA;NA
"O ring";"gamma-butyrolactone";"7302";"96-48-0";8;NA;NA;NA;NA;NA;NA
"O ring";"gamma-hexalactone";"12756";"695-06-7";32;NA;NA;NA;NA;NA;NA
"O ring";"gamma-octalactone";"7704";"104-50-7";32;NA;NA;NA;NA;NA;NA
"O ring";"gamma-decalactone";"12813";"706-14-9";12;NA;NA;NA;NA;NA;NA
"O ring";"delta-decalactone";"12810";"705-86-2";3;NA;NA;NA;NA;NA;NA
"acid";"methanoic acid";"284";"64-18-6";45;NA;NA;NA;NA;NA;NA
"acid";"acetic acid";"176";"64-19-7";32;NA;NA;NA;NA;NA;NA
"acid";"propanoic acid";"1032";"79-09-4";50;NA;NA;NA;NA;NA;NA
"acid";"butyric acid";"264";"107-92-6";47;NA;NA;NA;NA;NA;7
"acid";"pentanoic acid";"7991";"109-52-4";36;NA;NA;NA;NA;NA;NA
"acid";"hexanoic acid";"8892";"142-62-1";33;NA;NA;NA;NA;NA;NA
"acid";"heptanoic acid";"8094";"111-14-8";13;NA;NA;NA;NA;NA;NA
"acid";"octanoic acid";"379";"124-07-2";13;NA;NA;NA;NA;NA;NA
"acid";"nonanoic acid";"8158";"112-05-0";16;NA;NA;NA;NA;NA;NA
"acid";"linoleic acid";"5280450";"60-33-3";18;NA;NA;NA;NA;NA;NA
"acid";"isobutyric acid";"6590";"79-31-2";43;NA;NA;NA;NA;NA;NA
"acid";"isopentanoic acid";"10430";"503-74-2";38;NA;NA;NA;NA;0;NA
"acid";"pyruvic acid";"1060";"127-17-3";37;NA;NA;NA;NA;NA;NA
"acid";"2-ethylhexanoic acid";"8697";"149-57-5";19;NA;NA;NA;NA;NA;NA
"acid";"lactic acid";"612";"50-21-5";48;NA;NA;NA;NA;NA;NA
"sulfid";"3-methylthio-1-propanol";"10448";"505-10-2";19;NA;NA;NA;NA;NA;15
"sulfid";"dimethyl sulfide";"1068";"75-18-3";-2;NA;NA;NA;NA;NA;NA
"sulfid";"dipropyldisulphide";"12377";"629-19-6";NA;NA;NA;NA;NA;NA;12
"sulfid";"propanethiol";"7848";"107-03-9";NA;NA;NA;NA;NA;NA;9
"terpene";"terpinolene";"11463";"586-62-9";7;NA;NA;NA;NA;NA;NA
"terpene";"alpha-pinene";"82227";"80-56-8";12;NA;NA;NA;NA;NA;2
"terpene";"beta-pinene";"14896";"127-91-3";2;NA;NA;NA;NA;NA;NA
"terpene";"3-carene";"443156";"13466-78-9";2;NA;NA;NA;NA;NA;NA
"terpene";"limonene";"22311";"138-86-3";9;NA;NA;NA;NA;NA;NA
"terpene";"alpha-humulene";"5281520";"6753-98-6";5;NA;NA;NA;NA;NA;NA
"terpene";"beta-myrcene";"31253";"123-35-3";5;NA;NA;NA;NA;NA;NA
"terpene";"(-)-trans-caryophyllene";"5281515";"87-44-5";8;NA;NA;NA;NA;NA;NA
"terpene";"p-cymene";"7463";"99-87-6";6;NA;NA;NA;NA;NA;NA
"terpene";"geranyl acetate";"1549026";"105-87-3";6;29;16;11;20;NA;8
"terpene";"alpha-terpineol";"443162";"10482-56-1";4;NA;NA;NA;NA;NA;NA
"terpene";"geraniol";"637566";"106-24-1";8;NA;NA;NA;NA;NA;NA
"terpene";"nerol";"643820";"106-25-2";2;NA;NA;NA;NA;NA;NA
"terpene";"linalool";"6549";"78-70-6";0;NA;NA;NA;NA;NA;4
"terpene";"beta-citronellol";"8842";"106-22-9";4;NA;NA;NA;NA;NA;0
"terpene";"linalool oxide";"22310";"60047-17-8";15;NA;NA;NA;NA;NA;NA
"terpene";"(R)-(-)-carvone";"439570";"6485-40-1";NA;NA;NA;NA;NA;NA;NA
"terpene";"(S)-(+)-carvone";"16724";"2244-16-8";NA;NA;NA;NA;NA;NA;NA
