"Class";"Name";"CID";"CAS";"Hallem.2006.EN";"Hallem.2004.EN";"Hallem.2004.WT";"Bruyne.2001.WT";"Dobritsa.2003.EN";"Stensmyr.2003.WT";"Schmuker.2007.TR";"Pelz.2006.ALEC50";"Pelz.2006.AntEC50";"Pelz.2005.ALnmr";"Pelz.2005.Antnmr"
NA;"SFR";NA;"SFR";4;7;7;4;NA;NA;4;NA;NA;NA;NA
"other";"water";"962";"7732-18-5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"amine";"ammonium hydroxide";"14923";"1336-21-6";17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"amine";"putrescine";"1045";"110-60-1";16;NA;NA;NA;NA;NA;3;NA;NA;NA;NA
"amine";"cadaverine";"273";"462-94-2";17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"amine";"ammonia";"222";"7664-41-7";NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA
"amine";"ethanolamine";"700";"141-43-5";NA;NA;NA;NA;NA;NA;8;NA;NA;NA;NA
"amine";"heptylamine";"8127";"111-68-2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"amine";"isoamylamine";"7894";"107-85-7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"amine";"dimethylamine";"674";"124-40-3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"O ring";"gamma-butyrolactone";"7302";"96-48-0";47;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"O ring";"gamma-hexalactone";"12756";"695-06-7";144;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"O ring";"gamma-octalactone";"7704";"104-50-7";45;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"O ring";"gamma-decalactone";"12813";"706-14-9";20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"O ring";"delta-decalactone";"12810";"705-86-2";15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"acid";"methanoic acid";"284";"64-18-6";37;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"acid";"acetic acid";"176";"64-19-7";36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"acid";"propanoic acid";"1032";"79-09-4";41;NA;NA;NA;NA;NA;NA;NA;NA;0.472;0.129
"acid";"butyric acid";"264";"107-92-6";121;NA;NA;NA;NA;NA;5;NA;NA;0.192;0.071
"acid";"pentanoic acid";"7991";"109-52-4";49;NA;NA;NA;NA;NA;NA;NA;NA;0.134;0.08
"acid";"hexanoic acid";"8892";"142-62-1";121;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"acid";"heptanoic acid";"8094";"111-14-8";16;NA;NA;NA;NA;NA;NA;NA;NA;0.223;0.03
"acid";"octanoic acid";"379";"124-07-2";4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"acid";"nonanoic acid";"8158";"112-05-0";11;NA;NA;NA;NA;NA;NA;NA;NA;0.069;0.033
