"Class";"Name";"CID";"CAS";"Bruyne.2001.WT";"Bruyne.2001.RR";"Dobritsa.2003.EN";"Galizia.2009.nmr"
NA;"SFR";NA;"SFR";3;NA;NA;NA
"other";"water";"962";"7732-18-5";NA;NA;NA;NA
"amine";"ammonium hydroxide";"14923";"1336-21-6";NA;NA;NA;NA
"amine";"putrescine";"1045";"110-60-1";NA;0;NA;NA
"amine";"cadaverine";"273";"462-94-2";NA;NA;NA;NA
"amine";"ammonia";"222";"7664-41-7";NA;0;NA;NA
"amine";"ethanolamine";"700";"141-43-5";NA;0;NA;NA
"amine";"heptylamine";"8127";"111-68-2";NA;NA;NA;NA
"amine";"isoamylamine";"7894";"107-85-7";NA;NA;NA;NA
"amine";"dimethylamine";"674";"124-40-3";NA;NA;NA;NA
"O ring";"gamma-butyrolactone";"7302";"96-48-0";NA;NA;NA;NA
"O ring";"gamma-hexalactone";"12756";"695-06-7";NA;NA;NA;NA
"O ring";"gamma-octalactone";"7704";"104-50-7";NA;NA;NA;NA
"O ring";"gamma-decalactone";"12813";"706-14-9";NA;NA;NA;NA
"O ring";"delta-decalactone";"12810";"705-86-2";NA;NA;NA;NA
"acid";"methanoic acid";"284";"64-18-6";NA;NA;NA;NA
"acid";"acetic acid";"176";"64-19-7";NA;NA;NA;0.0171306768142402
"acid";"propanoic acid";"1032";"79-09-4";NA;NA;NA;0.0204794395515051
"acid";"butyric acid";"264";"107-92-6";NA;0;NA;0.0365961291902059
"acid";"pentanoic acid";"7991";"109-52-4";NA;NA;NA;0.0348897264902194
"acid";"hexanoic acid";"8892";"142-62-1";NA;NA;NA;0.0383241132105815
"acid";"heptanoic acid";"8094";"111-14-8";NA;NA;NA;0.0466894293842878
"acid";"octanoic acid";"379";"124-07-2";NA;NA;NA;0.0485609147140825
"acid";"nonanoic acid";"8158";"112-05-0";NA;NA;NA;0.0497063018807221
"acid";"linoleic acid";"5280450";"60-33-3";NA;NA;NA;NA
"acid";"isobutyric acid";"6590";"79-31-2";NA;NA;NA;0.0226863630087632
"acid";"isopentanoic acid";"10430";"503-74-2";NA;NA;NA;NA
"acid";"pyruvic acid";"1060";"127-17-3";NA;NA;NA;NA
"acid";"2-ethylhexanoic acid";"8697";"149-57-5";NA;NA;NA;NA
"acid";"lactic acid";"612";"50-21-5";NA;NA;NA;NA
"sulfid";"3-methylthio-1-propanol";"10448";"505-10-2";NA;0;NA;NA
"sulfid";"dimethyl sulfide";"1068";"75-18-3";NA;NA;NA;NA
"sulfid";"dipropyldisulphide";"12377";"629-19-6";NA;0;NA;NA
"sulfid";"propanethiol";"7848";"107-03-9";NA;0;NA;NA
"terpene";"terpinolene";"11463";"586-62-9";NA;NA;NA;NA
"terpene";"alpha-pinene";"82227";"80-56-8";NA;NA;NA;NA
"terpene";"beta-pinene";"14896";"127-91-3";NA;NA;NA;NA
"terpene";"3-carene";"443156";"13466-78-9";NA;NA;NA;NA
"terpene";"limonene";"22311";"138-86-3";NA;0;NA;NA
"terpene";"alpha-humulene";"5281520";"6753-98-6";NA;NA;NA;NA
"terpene";"beta-myrcene";"31253";"123-35-3";NA;NA;NA;NA
"terpene";"(-)-trans-caryophyllene";"5281515";"87-44-5";NA;NA;NA;0.0378068696152977
"terpene";"p-cymene";"7463";"99-87-6";NA;NA;NA;NA
"terpene";"geranyl acetate";"1549026";"105-87-3";17;0;44;NA
"terpene";"alpha-terpineol";"443162";"10482-56-1";NA;NA;NA;0.031349321446264
"terpene";"geraniol";"637566";"106-24-1";NA;NA;NA;0.0490997782349414
"terpene";"nerol";"643820";"106-25-2";NA;NA;NA;NA
"terpene";"linalool";"6549";"78-70-6";NA;0;NA;0.0704672335686842
"terpene";"beta-citronellol";"8842";"106-22-9";NA;0;NA;0.0712919078509987
"terpene";"linalool oxide";"22310";"60047-17-8";NA;NA;NA;NA
"terpene";"(R)-(-)-carvone";"439570";"6485-40-1";NA;NA;NA;0.050433995294843
"terpene";"(S)-(+)-carvone";"16724";"2244-16-8";NA;NA;NA;0.0516855313521514
"terpene";"1,8-cineole";"2758";"470-82-6";NA;0;NA;0.0519037694274933
"terpene";"1,4-cineol";"10106";"470-67-7";NA;NA;NA;NA
"terpene";"citral";"638011";"5392-40-5";NA;NA;NA;0.253661277301216
"terpene";"(S)-(-)-citronellal";"443157";"5949-05-3";NA;NA;NA;0.057013948307402
"terpene";"(1R)-(-)-fenchone";"14525";"7787-20-4";NA;NA;NA;0.0345432605160772
"terpene";"(R)-(+)-limonene";"440917";"5989-27-5";NA;NA;NA;0.0289121034066973
