"","ac1A","ac1B","ac2A","ac2B","ac3A","ac3B","ac4","Or1a","Or2a","Or7a","Or9a","Or10a","Or13a","Or19a","Or22a","Or22b","Or22c","Or23a","Or24a","Or30a","Or33a","Or33b","Or33c","Or35a","Or42a","Or42b","Or43a","Or43b","Or45a","Or45b","Or46a","Or47a","Or47b","Or49a","Or49b","Or59a","Or59b","Or59c","Or65a","Or67a","Or67b","Or67c","Or67d","Or71a","Or74a","Or82a","Or85a","Or85b","Or85c","Or85d","Or85e","Or85f","Or88a","Or92a","Or94a","Or94b","Or98a","Gr21a.Gr63a","ab2B","ab4B","ab5B","pb2A","Or69a","ac1","ac2","ac3_noOr35a","Ir31a","Ir41a","Ir75a","Ir75d","Ir76a","Ir84a","Ir92a","Ir64a.DC4","Ir64a.DP1m","ac1BC","ac2BC","Or83c"
"SFR",NA,0.06972846128059,0.05871024264723,0.0708944890612019,0.0501621763252307,0.0644866842747244,0.0926953864567086,0,0.0286829027255785,0.130956567503205,0.0643454371059982,0.0520259381817023,0.028300170627428,0.10361291166191,0.0959842973196151,NA,NA,0.0193166138439107,NA,0.0124334561664348,0,0.0503088138120668,0.0456156813679491,0.0597387172679735,0.0614168168416765,0.126388621578101,0.0952816373261105,0.0272698389429168,0.00866147299082981,0.024699703659918,0.0981468215617923,0.0111786741379556,0.167149274225666,0,0.0957906293139325,0.0068434298652947,0.0364471281165619,0.0234510026772946,0.058681419798296,0.0401342537647234,0.00806008624691519,0.0771121151182395,NA,0.0449666868985124,0.0128734935613767,0.0484933107854085,0.0456490930461306,0.0510760785985652,0.0293497135976639,0.039955587791835,0,0.0339097524170205,0.0563173771366528,0.00572440251070035,0.0433570074602826,0.00359349293500019,0.025612965185024,0.163375601499306,0.00728143262680798,0.0648594697405228,0.0222059003616598,NA,0,0.186086452246063,0.171428571428571,0.096468397311523,0.116693154528814,0.162659167726898,0.0843433415808258,0.0268912731497301,0.0448016919334678,0.180339649436617,0.0756374678126319,0,0.0159901637132459,0.0206947524020695,0.0204567904294227,0.0783410138248848
"XLYOFNOQVPJJNP-UHFFFAOYSA-N",NA,NA,0.088860180218405,NA,0.191018858287656,0.0745912209270689,0.104770950103096,0.0248784137673027,NA,0.331284260042533,0.0687750669178537,0.0885977692877166,0.240576889001144,NA,0.322261741870206,NA,NA,NA,NA,0.0434631309368299,0.0170594837261504,NA,NA,NA,0.0968303689580189,0.259243356793758,NA,0.0406676411642841,0.25515685946897,0.027700995210922,NA,NA,NA,0.0110560870666128,0.0316900835734024,NA,0.134607270529927,0.0196034455998717,NA,NA,0.116204954700632,0.102898219262772,NA,0.0327334449419179,0.248824585897776,0.152998845759402,NA,0.151089200364804,0.100895416701998,0.0712583450588255,NA,NA,NA,0.0740187275703822,0.200040327569892,0.0402274900499194,0.0543896288017455,NA,0.010984497451766,NA,0.10909137984397,NA,NA,0.257240130258286,0.266665306122449,0.156807282690809,0.138766941747089,0.328675278877804,0.304496672924071,0.0143511241713934,0.0338767704179274,0.207641685683377,0,0.85496339878224,0.180955352688233,0.0252217294900222,0.0227291988996244,NA
"VHUUQVKOLVNVRT-UHFFFAOYSA-N",NA,NA,0.0547246206365213,NA,0.0485165414622153,0.226570926763499,0.151006532829678,NA,0.0345255018919602,0.157021610639015,0.108420055687789,0.113777548759703,0.146288464152704,0.0279798729079668,0.201515038080468,NA,NA,0.0150240329897083,NA,NA,NA,0.0197715100921565,NA,0.0446223176699808,0.0475885810320817,0.016767715495909,0.0906950034577459,0.0337795038218402,NA,NA,NA,0.0711081310013763,0.192028136019404,NA,0.0142148253371938,NA,0.0530438090278896,0.018271142671737,0.0689954280716062,0.0640150766176352,NA,0.0933208940654522,NA,0.033389449418733,NA,0.0403351570878256,0.0345349834144899,0.0811285005519157,NA,0.0325448622334444,NA,0.0866248723939589,0.0562504759054746,0.0235759633853975,NA,NA,0.0424114122044495,NA,0.00868672732542367,NA,0.0247299103126076,NA,NA,0.698275862068965,0.175510204081633,0.210477265821167,0.00168994266785533,0,0.121380947345971,0.0323583680721657,0.0578672003932722,0.0109643984959259,0.016627558545759,0.0283573920777177,0.0214534696486049,0.0229582409460458,0.0244339314354096,NA
"KIDHWZJUCRJVML-UHFFFAOYSA-N",NA,0.113308749580959,0.883934226407428,0.0443090556632512,0.108906327571351,0.339352415622089,0.0920866927420246,NA,0.0412385283012103,0.0502421149637091,0.0978696729988568,0.0582752563190499,0.173496176270087,0.0254362480981516,0.0350552195422366,NA,NA,0.0150240329897083,NA,NA,NA,0.0290695042480064,NA,0.0319673752402849,0.125459477386096,0.391935257098727,0.0321848913427705,0.0383840701977412,NA,NA,NA,0.0109224926435941,0.109946597020205,NA,0.0499421103760175,NA,0.0715269590830685,0.0510855042007718,0.0516633864569613,0.022015911189189,NA,0.125306470652585,NA,0.0521267719706255,NA,0.0539234729173462,0.0218115684723094,0.132909744053903,NA,0.0607506259673432,NA,0.0609906029334441,0.0438206328575108,0.0324903417349927,NA,NA,0.0548939593577036,NA,0.010385356763976,0.306816144197316,0.132655705430163,NA,NA,0.243899718963287,0.913265306122449,0.125828344319378,0.139446403232103,0.490747568383721,0.274386045049594,0.0264812410305474,0.0285807997558222,0.168288899935319,0.0307733919354346,0.32622973250325,0.147709137301109,0.0252217294900222,0.030685185644134,NA
"VHRGRCVQAFMJIZ-UHFFFAOYSA-N",NA,NA,NA,NA,0.120170494492066,0.0905535809376774,0.086690846052097,NA,0.0301846215266491,0.030160089230575,0.139902943889119,0.0726442806873824,NA,0.0228926232883365,0.0150735852234009,NA,NA,0.00429258085420237,NA,NA,NA,0.0234608694303629,NA,0.0662737581603469,NA,NA,0.0482773370141557,0.0791034861607735,NA,NA,NA,0.013302631546975,0.154515018056247,NA,0.0245668041402789,NA,0.0703593051524392,NA,0.055187449720182,0.0141343715546782,NA,0.10308992347792,NA,NA,NA,0.0374765951278064,0.025446829884361,0.107613303235071,NA,NA,NA,0.0838854823201019,0.0562504759054746,NA,NA,NA,0.0535220867384788,NA,NA,0.0250908265549274,NA,NA,NA,0.422759512869697,0.686734693877551,0.0985655363835126,0.0732424636666368,0.41365524527575,0.196254025797813,0.0288389257158477,0.0344872341020324,0.172335741049198,0.0399282002889868,0.293186016282411,0.101903980830874,NA,NA,NA
"QGZKDVFQNNGYKY-UHFFFAOYSA-N",NA,0.104592691920885,0.0303761116130429,0.0324933074863842,0.0221168130833988,0.144855309423681,0.177519448839271,NA,NA,0.118948483662026,NA,0.126843735185614,0.121315783803572,NA,0.0211147485381601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0612804478434758,NA,NA,NA,NA,NA,NA,NA,NA,0.0803435198211386,NA,0.00146838618076442,NA,NA,NA,NA,0.127185871895722,NA,NA,NA,0.0606041222416722,NA,0.207248116678237,NA,NA,NA,NA,NA,0.0310337498393561,NA,NA,0.0690853223423712,0.171110929467705,0.00843744027289891,0.305931663917139,0.120506686939654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.170506912442396
"HZAXFHJVJLSVMW-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA,0.105583883837375,NA,NA,0.114044351296787,NA,0.0693258475978338,0.133689331497367,NA,0.0762426648200891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0612804478434758,NA,NA,NA,NA,NA,NA,NA,NA,0.0803435198211386,NA,0.00293677236152883,NA,NA,NA,NA,0.127185871895722,NA,NA,NA,0.0606041222416722,NA,0.121524655403546,NA,NA,NA,NA,NA,0.0310337498393561,NA,NA,0.0690853223423712,NA,0.0272287433732333,NA,0.149232459212638,NA,NA,0.415532854530044,0.220408163265306,0.119536927103409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"WJYIASZWHGOTOU-UHFFFAOYSA-N",NA,0.0958766342608113,0,0.011815748176867,0.00551574708801217,0.379599147485111,0.0890611777822664,NA,NA,NA,NA,NA,NA,0.0452886470490027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.139113173038319,0.00204081632653061,0.011534264895943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BMFVGAAISNGQNM-UHFFFAOYSA-N",NA,0,0,0.0177236222653005,0.0102536641250247,0.312942709632544,0.0815501193108674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.109303207387251,0.00102040816326531,0.00838855628795852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROSDSFDQCJNGOL-UHFFFAOYSA-N",NA,0.100234663090848,0.0405632134179147,0.0443090556632512,0.0574111568534126,0.173583268374014,0.178139140998598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.489606102511487,0.0959183673469388,0.079691284735606,0.0110456046538173,0.0323956777981122,0.108402234672999,0.0226542745848425,0.0558376068461181,0.0322322507808091,0.352294673268022,0.168365601696655,0.114029854980085,NA,NA,NA
