"ac1A";"ac1B";"ac2A";"ac2B";"ac3A";"ac3B";"ac4";"Or1a";"Or2a";"Or7a";"Or9a";"Or10a";"Or13a";"Or19a";"Or22a";"Or22b";"Or22c";"Or23a";"Or24a";"Or30a";"Or33a";"Or33b";"Or33c";"Or35a";"Or42a";"Or42b";"Or43a";"Or43b";"Or45a";"Or45b";"Or46a";"Or47a";"Or47b";"Or49a";"Or49b";"Or59a";"Or59b";"Or59c";"Or65a";"Or67a";"Or67b";"Or67c";"Or67d";"Or71a";"Or74a";"Or82a";"Or85a";"Or85b";"Or85c";"Or85d";"Or85e";"Or85f";"Or88a";"Or92a";"Or94a";"Or94b";"Or98a";"Gr21a.Gr63a";"ab2B";"ab4B";"ab5B";"pb2A";"Or69a";"ac1";"ac2";"ac3_noOr35a";"Ir31a";"Ir41a";"Ir75a";"Ir75d";"Ir76a";"Ir84a";"Ir92a";"Ir64a.DC4";"Ir64a.DP1m";"ac1BC";"ac2BC";"Or83c"
"SFR";0.114394500503196;0.421052631578947;0.063409667830676;0.347826086956522;0.14261452096534;0.0573686209287619;0.218041996114247;0;0.203973056097266;0.0297838963217532;0.0987595305373532;0.0641687244975649;0.0918516546867988;0.114323641280429;0.0975104157828267;NA;NA;0.0722807094636044;NA;0.0171015396817596;0;0.252554599733433;0.100719424460432;0.100441303456732;0.0914258567969875;0.0573982706151047;0.174403648138598;0.0199897020529791;0.00999601837306883;0.0259275564450299;0.162651970376746;0.0598049015838606;0.640561495069744;0;0.0668447796612505;0.0140154452211862;0.0312242232290492;0.10249224936505;0.259582406228386;0.0330538820099144;0.0512199354582827;0.0453259339175223;NA;0.0372481765988197;0.0245995040686818;0.0363007535434249;0.0667816229859673;0.0770268787248326;0.0335079516313957;0.0835375800033239;0;0.117972386849511;0.262671946243499;0.0471890577578643;0.0470301798786552;0.00784877777518849;0.0190945077965247;0.141138771187769;0.0143485256453349;0.101719532247335;0.0261592311014941;NA;0;0.266494178525226;0.171428571428571;0.14856153677221;0.50383631713555;0.331451805788089;0.131002049266795;0.0268912731497301;0.774215645978901;0.383669152909966;0.214699436443331;0;0.0261324041811847;0.363636363636364;0.580635796196835;0.0783410138248848
"XLYOFNOQVPJJNP-UHFFFAOYSA-N";0.0412917586163431;NA;0.0981583565366456;NA;0.46224585723812;0.0786210301931858;0.246446646035984;0.194444444444444;NA;0.111069282498219;0.105558282859531;0.0704688388419583;0.227540060160098;NA;0.424725228016635;NA;NA;NA;NA;0.0597811620888064;0.266666666666667;NA;NA;NA;0.136954286837173;0.249816568294491;NA;0.0877555075765141;0.294471004870271;0.0292589039387471;NA;NA;NA;0.0780631757320891;0.110054959905224;NA;0.0562167898727129;0.105504476004199;NA;NA;0.116864311310785;0.0510835363950807;NA;0.0259603106276847;0.477497828453538;0.0843106153478723;NA;0.260503245833844;0.115388293937624;0.165678774900221;NA;NA;NA;0.0336933387928583;0.216987590696044;0.0880576957012902;0.186295008723427;NA;0.0164517854089191;NA;0.0971623266655532;NA;NA;0.368393272962484;0.266665306122449;0.241483548424602;0.599142470287348;0.669744080363549;0.472591129093011;0.0143511241713934;0.585422660638444;0.442576586177536;0;0.85496339878224;0.295731707317073;0.443181818181818;0.645134755891034;NA
"VHUUQVKOLVNVRT-UHFFFAOYSA-N";0.869788041615251;NA;0.0561602699944477;NA;0.149317266149606;0.485971701553153;0.355203933044196;NA;0.238422178669105;0.0794294974066397;0.166406727664203;0.0669739502583787;0.142037257479822;0.111064689482199;0.213503447531148;NA;NA;0.0562183295828034;NA;NA;NA;0.0326943231672482;NA;0.0901580072639159;0.0345655233979461;0.125244644991304;0.166008279470455;0.0263668703341442;NA;NA;NA;0.0937388744397636;0.574751599886724;NA;0.0780541655882421;NA;0.015185024263123;0.0995534874803193;0.302371456294725;0.0559442040060284;NA;0.0513448270544192;NA;0.026480576063281;NA;0.0410310171558573;0.0484773089282611;0.0640833256310559;NA;0.0793838910876789;NA;0.301370662371429;0.262359909755062;0.0150765271140038;NA;NA;0.0858100124168644;NA;0.0125192592165417;NA;0.0225357863379058;NA;NA;1;0.175510204081633;0.324135436447958;0.00729652474800665;0;0.188280118472963;0.0323583680721657;1;0.009504986569358;0.0471978710081402;0.0283573920777177;0.0350609756097561;0.403409090909091;0.69352107224077;NA
"KIDHWZJUCRJVML-UHFFFAOYSA-N";0.111228678870662;0.684210526315789;1;0.217391304347826;0.394478392022607;0.529411172883946;0.216610201095691;NA;0.268549354303385;0.0593253951564034;0.150213648033441;0.0704837760619896;0.176620609800183;0.0921438296112976;0.202112054796989;NA;NA;0.0562183295828034;NA;NA;NA;0.0973783498912085;NA;0.0737751911099383;0.194683865937828;0.287704705210183;0.0589112480848157;0.0661104422713557;NA;NA;NA;0.0254165081714277;0.431021739922354;NA;0.0892119802813097;NA;0.0390420584829461;0.184366133903663;0.230184756352328;0.00964621636455188;NA;0.083479968209553;NA;0.0442355892321756;NA;0.0642726035185452;0.0306172477441649;0.198443446985565;NA;0.144433648422971;NA;0.212187922978357;0.204385422466929;0.0238161616033556;NA;NA;0.0915208612476162;NA;0.0134707237509912;0.481181773433227;0.128637068833624;NA;NA;0.349288486416559;0.913265306122449;0.193775917528969;0.602076124567474;1;0.4259786178047;0.0264812410305474;0.493903274421154;0.356792363641289;0.0873512836568566;0.32622973250325;0.241398083623693;0.443181818181818;0.870953694295253;NA
"VHRGRCVQAFMJIZ-UHFFFAOYSA-N";NA;NA;NA;NA;0.343740293287638;0.0806806010567686;0.203917863019645;NA;0.218600797254158;0.0222499133778046;0.21472772573975;0.0576130149331413;NA;0.0982174742532967;0.103754499417159;NA;NA;0.016062379880801;NA;NA;NA;0.0571075792484314;NA;0.122780844100243;NA;NA;0.0883668721272235;0.0713690586600193;NA;NA;NA;0.0273194853661421;0.510415620009901;NA;0.0767783283847266;NA;0.0363192795335402;NA;0.244975457805638;0.00321540545485063;NA;0.0770612753598428;NA;NA;NA;0.02815059778563;0.0357201223681924;0.120093546381338;NA;NA;NA;0.291840207532944;0.262359909755062;NA;NA;NA;0.0991108680802707;NA;NA;0.0393501080270418;NA;NA;NA;0.605433376455369;0.686734693877551;0.151791135397693;0.316232887016699;0.842908395120785;0.304596055527428;0.0288389257158477;0.595972050965886;0.365273846557386;0.113337507827176;0.293186016282411;0.166539634146341;NA;NA;NA
"QGZKDVFQNNGYKY-UHFFFAOYSA-N";1;0.631578947368421;0.0395011844051824;0.159420289855072;0.144871702294744;0.140605976481707;0.417568731881741;NA;NA;0.0981053446669307;NA;0.121982259045532;0.136711240643757;NA;0.101628140961789;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0347595322271161;NA;NA;NA;NA;NA;NA;NA;NA;0.10849974901585;NA;0.0164775481540124;NA;NA;NA;NA;0.140711480597516;NA;NA;NA;0.0685474679233003;NA;0.354469387014306;NA;NA;NA;NA;NA;0.0274893214799689;NA;NA;0.12572391439253;0.171432308761003;0.00988915580957375;0.479794637202518;0.106164697423782;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.170506912442396
"HZAXFHJVJLSVMW-UHFFFAOYSA-N";NA;NA;NA;NA;NA;NA;0.248358863039508;NA;NA;0.100486306750219;NA;0.0946309144472119;0.147656905602507;NA;0.324636087424542;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0347595322271161;NA;NA;NA;NA;NA;NA;NA;NA;0.10849974901585;NA;0.0203302788969556;NA;NA;NA;NA;0.140711480597516;NA;NA;NA;0.0685474679233003;NA;0.226519575185613;NA;NA;NA;NA;NA;0.0274893214799689;NA;NA;0.12572391439253;NA;0.0590167851450497;NA;0.13489259570584;NA;NA;0.595084087968952;0.220408163265306;0.184087121652521;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
"WJYIASZWHGOTOU-UHFFFAOYSA-N";0.3706169248731;0.578947368421053;0;0.0579710144927536;0.0939021340078982;0.582432508388288;0.209493457249897;NA;NA;NA;NA;NA;NA;0.0431833845120216;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.199223803363519;0.00204081632653061;0.0177627924401555;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BMFVGAAISNGQNM-UHFFFAOYSA-N";0.360546795671069;0;0;0.0869565217391304;0.100250067139065;0.465584573188971;0.19182562884293;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15653298835705;0.00102040816326531;0.0129183945019313;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ROSDSFDQCJNGOL-UHFFFAOYSA-N";0.154109147029446;0.605263157894737;0.0483860491742516;0.217391304347826;0.183133951693756;0.304367975914701;0.419026397905486;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.701164294954722;0.0959183673469388;0.122724747768347;0.0476906875282082;0.0660129155704377;0.168192532425119;0.0226542745848425;0.964926702287985;0.0481004399641367;1;0.168365601696655;0.186356707317073;NA;NA;NA
