"Class";"Name";"CID";"CAS";"InChI";"InChIKey";"SMILES";"Code";"Formula";"MW";"BP";"MP";"HLC";"EG";"EC";"HBD";"HBA";"RotB";"TPSA";"Volume";"VP.25";"pKa.25"
"1";NA;"SFR";"SFR";"SFR";"SFR";"SFR";"SFR";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";"other";"water";"962";"7732-18-5";"InChI=1S/H2O/h1H2";"InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N";"O";"";"H2O";18.02;100;0;NA;-241.8;-285.8;1;1;0;1;20.12;23.54;NA
"3";"amine";"ammonium hydroxide";"14923";"1336-21-6";"InChI=1S/H3N.H2O/h1H3;1H2";"InChIKey=VHUUQVKOLVNVRT-UHFFFAOYSA-N";"[OH-].[NH4+]";"";"H5NO";35.05;NA;NA;NA;NA;NA;2;1;0;2;NA;NA;NA
"4";"amine";"putrescine";"1045";"110-60-1";"InChI=1S/C4H12N2/c5-3-1-2-4-6/h1-6H2";"InChIKey=KIDHWZJUCRJVML-UHFFFAOYSA-N";"C(CCN)CN";"";"C4H12N2";88.15;158;25;1.82e-09;NA;NA;2;2;3;52;98.57;NA;NA
"5";"amine";"cadaverine";"273";"462-94-2";"InChI=1S/C5H14N2/c6-4-2-1-3-5-7/h1-7H2";"InChIKey=VHRGRCVQAFMJIZ-UHFFFAOYSA-N";"C(CCN)CCN";"";"C5H14N2";102.18;178;14;NA;NA;NA;2;2;4;52;116.48;4.12;10.8
"6";"amine";"ammonia";"222";"7664-41-7";"InChI=1S/H3N/h1H3";"InChIKey=QGZKDVFQNNGYKY-UHFFFAOYSA-N";"N";"";"H3N";17.03;-33;-78;NA;-45.94;NA;1;1;0;1;13.33;7424.2;NA
"7";"amine";"ethanolamine";"700";"141-43-5";"InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2";"InChIKey=HZAXFHJVJLSVMW-UHFFFAOYSA-N";"C(CO)N";"";"C2H7NO";61.08;170;10;3.25e-08;NA;-507.5;2;2;1;46.3;60.69;0.4;9.5
"8";"amine";"heptylamine";"8127";"111-68-2";"InChI=1S/C7H17N/c1-2-3-4-5-6-7-8/h2-8H2,1H3";"InChIKey=WJYIASZWHGOTOU-UHFFFAOYSA-N";"C(CCCC)CCN";"";"C7H17N";115.22;154;-18;4.15e-05;NA;-266;1;1;5;26;142.25;2.74;10.66
"9";"amine";"isoamylamine";"7894";"107-85-7";"InChI=1S/C5H13N/c1-5(2)3-4-6/h5H,3-4,6H2,1-2H3";"InChIKey=BMFVGAAISNGQNM-UHFFFAOYSA-N";"C(C(C)C)CN";"";"C5H13N";87.16;95;-60;NA;NA;-210;1;1;2;26;103.75;NA;NA
"10";"amine";"dimethylamine";"674";"124-40-3";"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3";"InChIKey=ROSDSFDQCJNGOL-UHFFFAOYSA-N";"CNC";"";"C2H7N";45.08;7;-93;1.77e-05;-19;-45;1;1;0;12;53.39;NA;NA
