"ac1A";"ac1B";"ac2A";"ac2B";"ac3A";"ac3B";"ac4";"Or1a";"Or2a";"Or7a";"Or9a";"Or10a";"Or13a";"Or19a";"Or22a";"Or22b";"Or22c";"Or23a";"Or24a";"Or30a";"Or33a";"Or33b";"Or33c";"Or35a";"Or42a";"Or42b";"Or43a";"Or43b";"Or45a";"Or45b";"Or46a";"Or47a";"Or47b";"Or49a";"Or49b";"Or59a";"Or59b";"Or59c";"Or65a";"Or67a";"Or67b";"Or67c";"Or67d";"Or71a";"Or74a";"Or82a";"Or85a";"Or85b";"Or85c";"Or85d";"Or85e";"Or85f";"Or88a";"Or92a";"Or94a";"Or94b";"Or98a";"Gr21a.Gr63a";"ab2B";"ab4B";"ab5B";"pb2A";"Or69a";"ac1";"ac2";"ac3_noOr35a";"Ir31a";"Ir41a";"Ir75a";"Ir75d";"Ir76a";"Ir84a";"Ir92a";"Ir64a.DC4";"Ir64a.DP1m";"ac1BC";"ac2BC";"Or83c"
"SFR";NA;0.06972846128059;0.0586832777184232;0.0708944890612019;0.0502581066956071;0.0627652338887417;0.0925606268025652;0;0.0269947809262163;0.069194324652962;0.067791645968535;0.0689864498555339;0.0359588705665041;0.102286268480637;0.0635031399866783;NA;NA;0.0197338863482814;NA;0.0124390914513453;0;0.0501585113298344;0.0456156813679491;0.0591096400691671;0.0709644915214956;0.10311970661978;0.0908335766830273;0.0202302942192963;0.00865916464005465;0.0246719321131721;NA;0.00984347265729958;0.209667411770132;0;0.0880371682544349;0.00684353331483323;0.0551356217339736;0.0319582787526251;0.05800724163071;0.0280397472166975;0.00805659067955073;0.0752527255699524;NA;0.0422287531194212;0.0128887352743874;0.0524191773982154;0.0431023979150679;0.050463929551935;0.0295267060816177;0.0674668271518751;0;0.0362667224264984;0.0592064847979599;0.0831736081174662;0.0432704206934729;0.00359369969544324;0.0365015910816001;0.160166228864169;0.0193168834011092;0.0648890151752499;0.0217268463216644;NA;0;0.186086452246063;0.171428571428571;0.096468397311523;0.116693154528814;0.162659167726898;0.0843832308921512;0.0268912731497301;0.0448016919334678;0.180478397765793;0.0756374678126319;0;0.0159901637132459;0.0206947524020695;0.0204567904294227;0.0783410138248848
"XLYOFNOQVPJJNP-UHFFFAOYSA-N";NA;NA;0.0888193677753745;NA;0.191271098059605;0.0728492323589607;0.104618635111597;0.0248784137673027;NA;0.202271888177581;0.0957928074904108;0.109933344336607;0.163539332821921;NA;0.277294593369576;NA;NA;NA;NA;0.0434828299748649;0.0170594837261504;NA;NA;NA;0.107409631281993;0.160487712893578;NA;0.0632903344296532;0.255088858156149;0.0276698491092009;NA;NA;NA;0.0110945879639993;0.0427642551168325;NA;0.202720228570074;0.0368447096141047;NA;NA;0.116154921011075;0.0998970040125303;NA;0.0318041216631133;0.249119184478199;0.230970513012453;NA;0.142036253330163;0.101503863198834;0.129761456323176;NA;NA;NA;0.0576655204535624;0.199640834011402;0.0402298046373739;0.101047338291671;NA;0.0279764182286115;NA;0.104656692788863;NA;NA;0.257240130258286;0.266665306122449;0.156807282690809;0.138766941747089;0.328675278877804;0.304640681477153;0.0143511241713934;0.0338767704179274;0.207801439442719;0;0.85496339878224;0.180955352688233;0.0252217294900222;0.0227291988996244;NA
"VHUUQVKOLVNVRT-UHFFFAOYSA-N";NA;NA;0.0546994862573584;NA;0.0480552185666398;0.221167401804004;0.150787000996267;NA;0.0331155629192876;0.159476337836274;0.112162671383503;0.119087317203373;0.115478415944995;0.0276216230816581;0.136157599118138;NA;NA;0.0153485782708855;NA;NA;NA;0.00812871396294376;NA;0.0441524233687335;0.0620698154254147;0.0351600042400928;0.0863847970203696;0.0258308470195985;NA;NA;NA;0.0683982278526667;0.147148554565432;NA;0.0117853658969297;NA;0.0936390055306349;0.0343406439602153;0.0679089345494164;0.0507169417349105;NA;0.0901942524939772;NA;0.0324415017564459;NA;0.0146280157355255;0.0319331061090955;0.0804997445272931;NA;0.0636557321127159;NA;0.0826170808071227;0.0592064847979599;0.0180996852308171;NA;NA;0.0670901529771895;NA;0.0230449967194219;NA;0.0241964070669937;NA;NA;0.698275862068966;0.175510204081633;0.210477265821167;0.00168994266785533;0;0.121438353209984;0.0323583680721657;0.0578672003932722;0.0109728342003117;0.016627558545759;0.0283573920777177;0.0214534696486049;0.0229582409460458;0.0244339314354096;NA
"KIDHWZJUCRJVML-UHFFFAOYSA-N";NA;0.113308749580959;0.883528245740167;0.0443090556632512;0.100465179229003;0.328932435652284;0.0919528180009022;NA;0.0400792756877304;0.0583716038990588;0.102643304135062;0.0635441969439318;0.134491524698979;0.025110566437871;0.126380819813845;NA;NA;0.0153485782708855;NA;NA;NA;0.0145511052838488;NA;0.0316307435209853;0.126308184080759;0.319835587625354;0.0311357237674016;0.0417058191664686;NA;NA;NA;0.00963277617552181;0.107208144854923;NA;0.0505308492496186;NA;0.071089581637072;0.0696927859616417;0.0512101056011713;0.0113642022367465;NA;0.121436391515024;NA;0.0510792957393539;NA;0.185042504119948;0.0201682775425867;0.125542880435514;NA;0.112340813752431;NA;0.0597623501917647;0.0461026196473247;0.0233180111320901;NA;NA;0.0698969630368619;NA;0.0272270563015883;0.306369912289784;0.127401245146827;NA;NA;0.243899718963287;0.913265306122449;0.125828344319378;0.139446403232103;0.490747568383721;0.274515813092555;0.0264812410305474;0.0285807997558222;0.168418376751748;0.0307733919354346;0.32622973250325;0.147709137301109;0.0252217294900222;0.030685185644134;NA
"VHRGRCVQAFMJIZ-UHFFFAOYSA-N";NA;NA;NA;NA;0.120129824062163;0.0887269330416836;0.0865648157405794;NA;0.0281969929533098;0.00891579449322833;0.0852154934875332;0.0767261395608327;NA;0.0225995097940839;0.0608859362272389;NA;NA;0.00438530807739586;NA;NA;NA;0.0106866818600436;NA;0.0655758638598615;NA;NA;0.0467035856511024;0.0663518877839646;NA;NA;NA;0.0119574271110269;0.128302479303396;NA;0.0173283399927022;NA;0.110144683125078;NA;0.0546298594606894;0.00378806741224883;NA;0.0981188674424155;NA;NA;NA;0.0397914772437168;0.0235296571330178;0.105312154604614;NA;NA;NA;0.0801548183556189;0.0592064847979599;NA;NA;NA;0.0639173576007386;NA;NA;0.0251024962682803;NA;NA;NA;0.422759512869697;0.686734693877551;0.0985655363835126;0.0732424636666368;0.41365524527575;0.196346842110124;0.0288389257158477;0.0344872341020324;0.172468331393043;0.0399282002889868;0.293186016282411;0.101903980830874;NA;NA;NA
"QGZKDVFQNNGYKY-UHFFFAOYSA-N";NA;0.104592691920885;0.0303621602197231;0.0324933074863842;0.0221896512759052;0.138841478642576;0.17726137278561;NA;NA;0.0788458375504041;NA;0.161939078710129;0.112763357407706;NA;0.00652184045281225;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0552684118324955;NA;NA;NA;NA;NA;NA;NA;NA;0.0864027927243849;NA;0.0171432196244342;NA;NA;NA;NA;0.123189236068507;NA;NA;NA;0.192185412476808;NA;0.200528037367587;NA;NA;NA;NA;NA;0.0183545284263677;NA;NA;0.0838915992370981;0.167749602993208;0.0223834835350262;0.305485634642483;0.115672290914048;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.170506912442396
"HZAXFHJVJLSVMW-UHFFFAOYSA-N";NA;NA;NA;NA;NA;NA;0.105430387010694;NA;NA;0.0844872633301848;NA;0.0852036535103967;0.11855775453823;NA;0.227271159946214;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0552684118324955;NA;NA;NA;NA;NA;NA;NA;NA;0.0864027927243849;NA;0.0178880927566186;NA;NA;NA;NA;0.123189236068507;NA;NA;NA;0.192185412476808;NA;0.116316361434316;NA;NA;NA;NA;NA;0.0183545284263677;NA;NA;0.0838915992370981;NA;0.0748298780416776;NA;0.14341411339217;NA;NA;0.415532854530044;0.220408163265306;0.119536927103409;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
"WJYIASZWHGOTOU-UHFFFAOYSA-N";NA;0.0958766342608113;0;0.011815748176867;0.00551739353873838;0.36595332902342;0.08893170150546;NA;NA;NA;NA;NA;NA;0.044708778441578;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.139113173038319;0.00204081632653061;0.011534264895943;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BMFVGAAISNGQNM-UHFFFAOYSA-N";NA;0;0;0.0177236222653005;0.0102481253493538;0.300193578236962;0.0814315625380466;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.109303207387251;0.00102040816326531;0.00838855628795852;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ROSDSFDQCJNGOL-UHFFFAOYSA-N";NA;0.100234663090848;0.0405445832077048;0.0443090556632512;0.0573566801051624;0.168536163060234;0.177880164042483;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.489606102511487;0.0959183673469388;0.079691284735606;0.0110456046538173;0.0323956777981122;0.108453502389047;0.0226542745848425;0.0558376068461181;0.0322570493814241;0.352294673268022;0.168365601696655;0.114029854980085;NA;NA;NA
