"ac1A";"ac1B";"ac2A";"ac2B";"ac3A";"ac3B";"ac4";"Or1a";"Or2a";"Or7a";"Or9a";"Or10a";"Or13a";"Or19a";"Or22a";"Or22b";"Or22c";"Or23a";"Or24a";"Or30a";"Or33a";"Or33b";"Or33c";"Or35a";"Or42a";"Or42b";"Or43a";"Or43b";"Or45a";"Or45b";"Or46a";"Or47a";"Or47b";"Or49a";"Or49b";"Or59a";"Or59b";"Or59c";"Or65a";"Or67a";"Or67b";"Or67c";"Or67d";"Or71a";"Or74a";"Or82a";"Or85a";"Or85b";"Or85c";"Or85d";"Or85e";"Or85f";"Or88a";"Or92a";"Or94a";"Or94b";"Or98a";"Gr21a.Gr63a";"ab2B";"ab3B";"ab4B";"ab5B";"pb2A";"Or69a";"ac1";"ac2";"ac3_noOr35a";"Ir31a";"Ir41a";"Ir75a";"Ir75d";"Ir76a";"Ir84a";"Ir92a";"Ir64a.DC4";"Ir64a.DP1m";"ac1BC";"ac2BC";"Or83c"
"SFR";0.127187887517226;0.421052631578947;0.137105307214146;0.347826086956522;0.390590924914648;0.180909307777924;0.303299136885086;0;0.125037431821233;0.12817895054829;0.142080034038927;0.116084250719963;0.0504556660886686;0.0289761141770175;0.204416971936866;NA;NA;0.0999369614039677;NA;0.0171015396817596;0;0.236428778317346;0.100719424460432;0.133139424443198;0.0175577224518235;0;0.159396439165053;0.057268371590277;0.00999601837306883;0.0261025574604162;NA;0.0247849507098061;0.81666011365424;0;0.162186559880368;0.0140152185260223;0.0386294922193098;0.00508160436448078;0.243505328284894;0.0286376283642422;0.049893682114615;0.321086173948869;0.107171563811735;0.0453132980594442;0.0247085505640548;0.170235533978142;0.0695790822671395;0.195885060417262;0.0330641408762094;NA;0;0.115664117844202;0.273404025598518;0;0.0470301798786552;0.00784326342314339;0.0331283817430937;0.236442510383179;0.0594653387525904;0.0202540933420556;NA;0.214959255469905;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"XLYOFNOQVPJJNP-UHFFFAOYSA-N";0.177119824242446;NA;0.160386147103149;NA;0.567693461916937;0.131140730734142;0.381962136388023;0.194444444444444;NA;0.202003447340521;0.119003840168844;0.135278829836033;0.118928315076213;NA;0.406141309862573;NA;NA;NA;NA;0.0597811620888064;0.266666666666667;NA;NA;NA;0.0646923474680645;0.137031784348746;NA;0.122242789556746;0.294471004870271;0.0296929193193894;NA;NA;NA;0.0711154540716937;0.190923611473903;NA;0.117493235947265;0.0267616229621421;NA;NA;0.132506363317924;NA;NA;0.0372782044074073;0.477577810011172;0.249618858555442;NA;NA;0.116190701352545;NA;NA;NA;NA;0.263102078103825;0.216987590696044;0.0878017035292656;0.127862604701012;NA;0.0603567044272866;0.130049991901008;NA;0.279861754798522;NA;NA;0.368393272962484;0.266665306122449;0.241483548424602;0.599142470287348;0.669744080363549;0.446179493828433;0.0143511241713934;0.585422660638444;0.443216939651962;0;0.852449888641425;0.295731707317073;NA;NA;NA
"VHUUQVKOLVNVRT-UHFFFAOYSA-N";1;NA;0.105876303259937;NA;0.267450434573242;0.335958884518082;0.652896227944782;NA;0.155354828754488;0.137142633733522;0.184242416537614;0.130016580812402;0.0614374394047525;0.0318737255947192;0.336754008351013;NA;NA;0.0833391930482234;NA;NA;NA;0.0891615218554084;NA;0.116960763305557;0.0495586828931978;0.109012987358895;0.153091652631613;0.0582962417758679;NA;NA;NA;0.0625954308144819;0.769988922898272;NA;0.0476331547482221;NA;0.0954070925381747;0.0396489064173166;0.283387708904138;0.0744578337470299;NA;0.346857423386421;NA;0.0355846423941954;NA;0.173634414195968;0.0507346394691128;0.0138619257177583;NA;NA;NA;0.310571302366975;0.273404025598518;0.13738316986882;NA;NA;0.0517470869902058;NA;0.0609839681205089;0.080193514735528;NA;0.0528744848865929;NA;NA;1;0.175510204081633;0.324135436447958;0.00729652474800665;0;0.180417340775835;0.0323583680721657;1;0.0103691819753566;0.0471978710081402;0.0115186525612472;0.0350609756097561;NA;NA;NA
"KIDHWZJUCRJVML-UHFFFAOYSA-N";0.158547142175064;0.684210526315789;1;0.217391304347826;0.396377207793617;0.558923446797855;0.294621214070418;NA;0.199606344094918;0.0651925987067096;0.15079599253073;0.104073210942833;0.0677146849978408;0.0289761141770175;0.278409706376425;NA;NA;0.0833391930482234;NA;NA;NA;0.143468256119575;NA;0.101718395409588;0.0673804983026356;0.261394615560227;0.0602266110680322;0.0783726606490976;NA;NA;NA;0;0.333661866589251;NA;0.127224693769818;NA;0.0959344593935108;0.0868936875639866;0.216917074538731;0.0171825770185453;NA;0.0870902268581133;NA;0.0637146211700356;NA;0.149909888994895;0.0320429301910186;0.192174478838871;NA;NA;NA;0.207385145854919;0.212892926260169;0.0737429391638277;NA;NA;0.0604195929687729;NA;0.0606711185545572;0.104208748274967;NA;0.298084109357813;NA;NA;0.349288486416559;0.913265306122449;0.193775917528969;0.602076124567474;1;0.411077632139467;0.0264812410305474;0.493903274421154;0.354690738214455;0.0873512836568566;0.314553173719376;0.241398083623693;NA;NA;NA
"VHRGRCVQAFMJIZ-UHFFFAOYSA-N";NA;NA;NA;NA;0.469219780897905;0.11922187281466;0.267119919587115;NA;0.125853818527534;0.029539775263447;0.283768164505028;0.102156803015465;NA;0.0260785027593157;0.253355832262816;NA;NA;0.0418447721588628;NA;NA;NA;0.110884215561075;NA;0.147445499097496;NA;NA;0.0963485738306484;0.133857903406538;NA;NA;NA;0.00206930892645043;0.564658543458733;NA;0.0856609605082622;NA;0.0867551771466052;NA;0.230211201411812;0.00572752567284845;NA;0.0822502200717874;NA;NA;NA;0.0655158828440221;0.0373834185561884;0.237827895640411;NA;NA;NA;0.299106173865636;0.273404025598518;NA;NA;NA;0.111817830609083;NA;NA;NA;NA;NA;NA;NA;0.605433376455369;0.686734693877551;0.151791135397693;0.316232887016699;0.842908395120785;0.279492042035397;0.0288389257158477;0.595972050965886;0.363062062947151;0.113337507827176;0.280936804008909;0.166539634146341;NA;NA;NA
"QGZKDVFQNNGYKY-UHFFFAOYSA-N";0.868631584600076;0.631578947368421;0.0964283047963649;0.159420289855072;0.255857453052523;0.202280034864795;0.488808571246437;NA;NA;0.1718409218199;NA;0.168043001410992;0.0236712830866967;NA;0.296351582163369;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0392892419693932;NA;NA;NA;NA;NA;NA;NA;NA;0.182111741435387;NA;0.0825988529860197;NA;NA;NA;NA;0.309186496352762;NA;NA;NA;0.200686313612717;NA;NA;NA;NA;NA;NA;NA;0.101655254209543;NA;NA;0.0529094130754798;0.241727489723523;0.0611562648712433;0.254989668534899;NA;0.276899502974821;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.170506912442396
"HZAXFHJVJLSVMW-UHFFFAOYSA-N";NA;NA;NA;NA;NA;NA;0.319074615287721;NA;NA;0.182685582183239;NA;0.120804795498752;0.0439035271047238;NA;0.324486845388981;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0392892419693932;NA;NA;NA;NA;NA;NA;NA;NA;0.182111741435387;NA;0.0835685556106363;NA;NA;NA;NA;0.309186496352762;NA;NA;NA;0.200686313612717;NA;NA;NA;NA;NA;NA;NA;0.101655254209543;NA;NA;0.0529094130754798;NA;0.101745007264396;0.146827525811047;NA;0.290577082724082;NA;NA;0.595084087968952;0.220408163265306;0.184087121652521;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
"WJYIASZWHGOTOU-UHFFFAOYSA-N";0.31645401924023;0.578947368421053;0.0576085436782464;0.0579710144927536;0.20219006505028;0.477924546091886;0.347607971433438;NA;NA;NA;NA;NA;NA;0.0376689484301227;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.199223803363519;0.00204081632653061;0.0177627924401555;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BMFVGAAISNGQNM-UHFFFAOYSA-N";0.307619178194473;0;0.0576085436782464;0.0869565217391304;0.20902649347977;0.386043042349522;0.27958722445061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15653298835705;0.00102040816326531;0.0129183945019313;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ROSDSFDQCJNGOL-UHFFFAOYSA-N";0.0060739675876922;0.605263157894737;0.10659640720004;0.217391304347826;0.283484868863493;0.286812764312458;0.50729315790039;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.701164294954722;0.0959183673469388;0.122724747768347;0.0476906875282082;0.0660129155704377;0.164668891422286;0.0226542745848425;0.964926702287985;0.03423366975261;1;0.153953229398664;0.186356707317073;NA;NA;NA
